open,high,low,last,change,bid,ask,volume,openInterest,premium,time,strike,type,impliedVolatility,midprice,smoothed_midprice
0.0,11.94,11.94,11.94,-1.55,12.16,12.26,0.0,11.0,11940.0,02/05/25,59.0,call,0.23859800623980296,12.21,10.85606955416122
11.14,11.14,11.1,11.1,0.11,11.22,11.3,6.0,108.0,11100.0,02:07 ET,60.0,call,0.2789679270337555,11.260000000000002,10.700996463389561
0.0,10.52,10.52,10.52,-1.53,10.74,10.82,0.0,1.0,10520.0,02/05/25,60.5,call,0.24376077698205323,10.780000000000001,10.410528786763374
0.0,10.05,10.05,10.05,-1.52,10.27,10.36,0.0,6.0,10050.0,02/05/25,61.0,call,0.24292062191820968,10.315,10.018156007046457
0.0,9.13,9.13,9.13,-1.51,9.34,9.42,0.0,17.0,9130.0,02/05/25,62.0,call,0.24235740467418462,9.379999999999999,9.56208873161562
0.0,8.68,8.68,8.68,-1.49,8.88,8.96,0.0,4.0,8680.0,02/05/25,62.5,call,0.24214924134348517,8.920000000000002,9.07664910933325
0.0,8.23,8.23,8.23,-1.48,8.43,8.5,0.0,6.0,8230.0,02/05/25,63.0,call,0.24052532967705534,8.465,8.586931876847935
0.0,7.79,7.79,7.79,-1.47,7.99,8.06,0.0,10.0,7790.0,02/05/25,63.5,call,0.23948716781429047,8.025,8.107551609949223
7.44,7.44,7.35,7.35,-1.46,7.55,7.61,1.0,22.0,7350.0,02/05/25,64.0,call,0.23717837485540968,7.58,7.644520907127788
0.0,6.93,6.93,6.93,-1.43,7.11,7.18,0.0,3.0,6930.0,02/05/25,64.5,call,0.2367599504864426,7.145,7.1984988590810435
0.0,6.51,6.51,6.51,-1.41,6.69,6.75,0.0,130.0,6510.0,02/05/25,65.0,call,0.23497410570913682,6.720000000000001,6.767874347778397
5.8,5.8,5.8,5.8,-0.31,6.28,6.33,1.0,4.0,5800.0,08:57 ET,65.5,call,0.19177777533791218,6.305,6.350774402511977
5.85,5.88,5.71,5.71,-1.36,5.87,5.92,2.0,13.0,5710.0,02/05/25,66.0,call,0.23280714886742632,5.895,5.945991063793597
5.62,5.62,5.33,5.33,-1.32,5.47,5.53,1.0,431.0,5330.0,02/05/25,66.5,call,0.2321029865759221,5.5,5.5531472585142065
5.63,5.63,4.96,4.96,-1.29,5.09,5.14,4.0,604.0,4960.0,02/05/25,67.0,call,0.23114505269418764,5.115,5.172457360269672
4.64,4.64,4.6,4.6,-1.25,4.72,4.77,1.0,175.0,4600.0,02/05/25,67.5,call,0.22990717971934915,4.744999999999999,4.804456431264636
4.4,4.4,4.4,4.4,0.15,4.36,4.41,1.0,1950.0,4400.0,09:24 ET,68.0,call,0.24305357513387865,4.385,4.449837778964725
3.73,3.73,3.73,3.73,-0.18,4.02,4.07,5.0,313.0,3730.0,09:18 ET,68.5,call,0.20928124859711938,4.045,4.109319573278309
0.0,3.59,3.59,3.59,-1.15,3.68,3.74,0.0,1105.0,3590.0,02/05/25,69.0,call,0.22521165430478624,3.71,3.7835528594747827
3.74,3.74,3.28,3.28,-1.12,3.37,3.43,6.0,468.0,3280.0,02/05/25,69.5,call,0.22350685173722087,3.4000000000000004,3.473099358667905
3.4,3.4,3.4,3.4,0.4,3.08,3.13,95.0,4082.0,3400.0,04:41 ET,70.0,call,0.2585847690197921,3.105,3.178385065322157
2.9,2.9,2.56,2.56,-0.17,2.81,2.84,81.0,818.0,2560.0,09:12 ET,70.5,call,0.20739093037029083,2.825,2.8996950304860443
2.55,2.75,2.29,2.29,-0.2,2.55,2.58,154.0,1300.0,2290.0,09:20 ET,71.0,call,0.20526545905230636,2.565,2.637190543639764
2.29,2.53,2.25,2.25,-0.0099999999999998,2.3,2.34,553.0,1465.0,2250.0,09:31 ET,71.5,call,0.22177628131404442,2.32,2.390940789349618
2.11,2.28,1.84,2.05,0.0099999999999998,2.07,2.1,910.0,2028.0,2070.0,09:38 ET,72.0,call,0.22299650766367396,2.085,2.1609460313634474
1.91,2.1,1.68,1.73,-0.12,1.86,1.89,525.0,2176.0,1730.0,09:00 ET,72.5,call,0.2121986601433429,1.875,1.9471386820438699
1.7,1.84,1.49,1.67,0.0,1.66,1.69,688.0,3329.0,1670.0,09:27 ET,73.0,call,0.22331286214596788,1.6749999999999998,1.7493605397639431
1.85,1.88,1.5,1.5,-0.71,1.48,1.51,39.0,1101.0,1500.0,02/05/25,73.5,call,0.2233552569019503,1.495,1.5673338802006322
1.37,1.46,1.21,1.21,-0.13,1.32,1.35,121.0,901.0,1210.0,09:09 ET,74.0,call,0.2105220318661144,1.335,1.4006472697395742
1.68,1.68,1.19,1.19,-0.62,1.17,1.2,77.0,730.0,1190.0,02/05/25,74.5,call,0.222447333896515,1.185,1.2487640496913477
1.05,1.14,0.99,0.99,-0.07,1.04,1.06,627.0,7806.0,1000.0,09:39 ET,75.0,call,0.21528787052551596,1.05,1.1110504693875076
0.96,1.05,0.83,0.96,0.02,0.92,0.94,80.0,1284.0,960.0,09:24 ET,75.5,call,0.22467736014221215,0.9299999999999999,0.9868042715029924
0.86,0.88,0.86,0.88,0.04,0.81,0.83,421.0,5229.0,880.0,09:24 ET,76.0,call,0.2279886701343287,0.8200000000000001,0.8752731093640924
0.78,0.83,0.69,0.69,-0.05,0.71,0.74,23.0,1721.0,690.0,09:28 ET,76.5,call,0.21722623225783322,0.725,0.7756602555886247
0.68,0.69,0.57,0.62,-0.04,0.63,0.65,1127.0,5156.0,640.0,09:38 ET,77.0,call,0.2192646843022289,0.64,0.6871256396531265
