Strike,Open,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,Time,Type
50.00C,0,20.75,20.75,20.75,-1.6,19.23,23.14,,179,20750,02/05/25,Call
52.00C,0,18.77,18.77,18.77,-1.59,17.47,20.93,,195,18770,02/05/25,Call
52.50C,0,18.27,18.27,18.27,-1.59,17.02,20.38,,300,18270,02/05/25,Call
53.00C,0,17.78,17.78,17.78,-1.59,16.58,19.82,,315,17780,02/05/25,Call
54.00C,0,16.79,16.79,16.79,-1.59,15.71,18.72,,50,16790,02/05/25,Call
55.00C,0,15.81,15.81,15.81,-1.58,14.84,17.62,,6,15810,02/05/25,Call
55.50C,0,15.32,15.32,15.32,-1.58,15.68,15.76,,1,15320,02/05/25,Call
56.00C,0,14.83,14.83,14.83,-1.58,15.18,15.28,,1,14830,02/05/25,Call
59.00C,0,11.94,11.94,11.94,-1.55,12.28,12.36,,11,11940,02/05/25,Call
60.00C,11.14,11.14,11.1,11.1,0.11,11.32,11.4,6,108,11100,"02:07 ET",Call
60.50C,0,10.52,10.52,10.52,-1.53,10.84,10.92,,1,10520,02/05/25,Call
61.00C,0,10.05,10.05,10.05,-1.52,10.38,10.44,,6,10050,02/05/25,Call
62.00C,0,9.13,9.13,9.13,-1.51,9.44,9.52,,17,9130,02/05/25,Call
62.50C,0,8.68,8.68,8.68,-1.49,8.98,9.06,,4,8680,02/05/25,Call
63.00C,0,8.23,8.23,8.23,-1.48,8.52,8.6,,6,8230,02/05/25,Call
63.50C,0,7.79,7.79,7.79,-1.47,8.08,8.14,,10,7790,02/05/25,Call
64.00C,7.44,7.44,7.35,7.35,-1.46,7.64,7.7,1,22,7350,02/05/25,Call
64.50C,0,6.93,6.93,6.93,-1.43,7.2,7.26,,3,6930,02/05/25,Call
65.00C,0,6.51,6.51,6.51,-1.41,6.78,6.83,,130,6510,02/05/25,Call
65.50C,0,6.11,6.11,6.11,-1.38,6.36,6.41,,4,6110,02/05/25,Call
66.00C,5.85,5.88,5.71,5.71,-1.36,5.95,6,2,13,5710,02/05/25,Call
66.50C,5.62,5.62,5.33,5.33,-1.32,5.54,5.6,1,431,5330,02/05/25,Call
67.00C,5.63,5.63,4.96,4.96,-1.29,5.17,5.22,4,604,4960,02/05/25,Call
67.50C,4.64,4.64,4.6,4.6,-1.25,4.78,4.84,1,175,4600,02/05/25,Call
68.00C,4.34,4.34,4.25,4.25,-1.22,4.43,4.48,2,1950,4250,02/05/25,Call
68.50C,0,3.91,3.91,3.91,-1.19,4.09,4.13,,313,3910,02/05/25,Call
69.00C,0,3.59,3.59,3.59,-1.15,3.75,3.8,,1105,3590,02/05/25,Call
69.50C,3.74,3.74,3.28,3.28,-1.12,3.44,3.48,6,468,3280,02/05/25,Call
70.00C,3.4,3.4,3.4,3.4,0.4,3.14,3.18,3,4082,3400,"04:41 ET",Call
70.50C,3.28,3.28,2.73,2.73,-1.02,2.86,2.9,69,818,2730,02/05/25,Call
71.00C,2.55,2.55,2.55,2.55,0.06,2.6,2.63,7,1300,2550,"18:57 ET",Call
71.50C,2.29,2.53,2.29,2.36,0.1,2.35,2.38,422,1465,2360,"07:01 ET",Call
72.00C,2.11,2.28,2.08,2.08,0.04,2.12,2.15,69,2028,2080,"07:45 ET",Call
72.50C,1.91,2.1,1.91,1.98,0.13,1.9,1.93,86,2176,1980,"05:56 ET",Call
73.00C,1.7,1.84,1.7,1.84,0.17,1.71,1.74,31,3329,1840,"05:09 ET",Call
73.50C,1.85,1.88,1.5,1.5,-0.71,1.53,1.55,39,1101,1500,02/05/25,Call
74.00C,1.37,1.37,1.37,1.37,0.03,1.36,1.39,32,901,1370,"07:34 ET",Call
74.50C,1.68,1.68,1.19,1.19,-0.62,1.21,1.23,77,730,1190,02/05/25,Call
75.00C,1.05,1.08,1.05,1.05,-0.01,1.07,1.1,349,7806,1050,"02:52 ET",Call
75.50C,0.96,1.05,0.96,1,0.06,0.95,0.97,31,1284,1000,"06:37 ET",Call
76.00C,0.86,0.86,0.86,0.86,0.02,0.84,0.86,30,5229,860,"01:36 ET",Call
76.50C,0.78,0.78,0.78,0.78,0.04,0.74,0.77,6,1721,780,"06:15 ET",Call
77.00C,0.68,0.69,0.68,0.69,0.03,0.66,0.68,19,5156,690,"04:11 ET",Call
77.50C,0.61,0.61,0.58,0.58,-0.38,0.58,0.6,243,1293,580,02/05/25,Call
78.00C,0.55,0.55,0.55,0.55,0.03,0.52,0.54,9,3542,550,"00:39 ET",Call
78.50C,0.47,0.47,0.46,0.46,0,0.46,0.48,24,915,460,"02:49 ET",Call
79.00C,0.42,0.43,0.42,0.43,0.02,0.41,0.42,20,2755,430,"01:55 ET",Call
79.50C,0.51,0.51,0.37,0.37,-0.25,0.36,0.38,35,1798,370,02/05/25,Call
80.00C,0.34,0.36,0.33,0.33,-0.01,0.32,0.34,437,10121,330,"07:13 ET",Call
80.50C,0,0.31,0.31,0.31,-0.19,0.29,0.31,3,466,310,02/05/25,Call
81.00C,0.3,0.3,0.3,0.3,0.02,0.26,0.28,2,1381,300,"04:23 ET",Call
81.50C,0.24,0.24,0.24,0.24,-0.01,0.23,0.25,109,472,240,"06:54 ET",Call
82.00C,0.22,0.24,0.22,0.24,0.01,0.21,0.23,26,5372,240,"04:14 ET",Call
82.50C,0.22,0.22,0.22,0.22,0.01,0.19,0.21,3,481,220,"04:23 ET",Call
83.00C,0.19,0.19,0.18,0.18,-0.02,0.17,0.19,163,2974,180,"07:02 ET",Call
83.50C,0.16,0.16,0.16,0.16,-0.02,0.16,0.17,4,459,160,"06:51 ET",Call
84.00C,0.16,0.16,0.16,0.16,-0.01,0.14,0.16,7,2146,160,"05:49 ET",Call
84.50C,0.15,0.15,0.15,0.15,0,0.13,0.15,1,463,150,"06:01 ET",Call
85.00C,0.13,0.14,0.13,0.14,0,0.12,0.14,6,9346,140,"06:30 ET",Call
85.50C,0.17,0.17,0.13,0.13,-0.08,0.11,0.13,34,361,130,02/05/25,Call
86.00C,0.12,0.12,0.11,0.11,-0.01,0.1,0.12,6,1774,110,"03:23 ET",Call
86.50C,0.13,0.13,0.11,0.11,-0.07,0.1,0.11,19,532,110,02/05/25,Call
87.00C,0.17,0.17,0.11,0.11,-0.06,0.09,0.11,109,1296,110,02/05/25,Call
