contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
SPY250221C00300000,2025-01-21 16:14:16+00:00,300.0,302.22,308.01,308.76,0.0,0.0,10.0,828,1.2155800939941406,True,REGULAR,USD,call
SPY250221C00305000,2025-01-16 19:29:17+00:00,305.0,289.01,302.88,303.7,0.0,0.0,31.0,282,1.1743205346679688,True,REGULAR,USD,call
SPY250221C00310000,2025-01-17 19:37:11+00:00,310.0,290.01,298.1,298.87,0.0,0.0,16.0,26,1.1796916015624999,True,REGULAR,USD,call
SPY250221C00315000,2025-01-16 19:26:06+00:00,315.0,278.78,293.1,293.89,0.0,0.0,14.0,259,1.1557659399414062,True,REGULAR,USD,call
SPY250221C00320000,2025-01-21 18:34:04+00:00,320.0,284.03,288.15,288.94,0.0,0.0,6.0,154,1.1379437634277343,True,REGULAR,USD,call
SPY250221C00325000,2024-12-30 18:10:06+00:00,325.0,268.58,282.96,283.92,0.0,0.0,,222,1.0988814587402347,True,REGULAR,USD,call
SPY250221C00330000,2024-12-30 17:58:46+00:00,330.0,263.12,277.93,278.94,0.0,0.0,148.0,151,1.0742233789062503,True,REGULAR,USD,call
SPY250221C00335000,2024-12-30 17:49:43+00:00,335.0,259.11,273.17,273.97,0.0,0.0,148.0,148,1.0683640332031252,True,REGULAR,USD,call
SPY250221C00340000,2025-01-02 14:45:34+00:00,340.0,250.16,268.24,269.0,0.0,0.0,,421,1.051030135498047,True,REGULAR,USD,call
SPY250221C00345000,2024-12-30 17:34:34+00:00,345.0,248.43,263.06,263.99,0.0,0.0,148.0,148,1.015874061279297,True,REGULAR,USD,call
SPY250221C00350000,2025-01-22 14:53:44+00:00,350.0,257.64,258.08,259.01,0.0,0.0,3.0,149,0.9953613745117188,True,REGULAR,USD,call
SPY250221C00355000,2025-01-02 15:04:03+00:00,355.0,237.76,253.1,253.9,0.0,0.0,,449,0.9672854833984376,True,REGULAR,USD,call
SPY250221C00360000,2025-01-02 15:04:18+00:00,360.0,232.89,248.29,249.05,0.0,0.0,,76,0.9648441015625,True,REGULAR,USD,call
SPY250221C00365000,2024-12-19 16:03:46+00:00,365.0,226.25,233.47,234.71,0.0,0.0,4.0,4,1.0000000000000003e-05,True,REGULAR,USD,call
SPY250221C00370000,2024-12-30 17:12:54+00:00,370.0,223.08,238.26,239.05,0.0,0.0,74.0,75,0.918946123046875,True,REGULAR,USD,call
SPY250221C00375000,2024-12-30 17:11:16+00:00,375.0,218.07,233.42,234.07,0.0,0.0,74.0,77,0.9064950756835937,True,REGULAR,USD,call
SPY250221C00380000,2024-12-30 17:59:28+00:00,380.0,214.33,228.43,229.17,0.0,0.0,,74,0.8903819555664061,True,REGULAR,USD,call
SPY250221C00385000,2025-01-13 15:24:30+00:00,385.0,193.88,223.41,224.16,0.0,0.0,40.0,115,0.8673108972167969,True,REGULAR,USD,call
SPY250221C00390000,2024-11-11 21:06:31+00:00,390.0,213.77,217.55,220.78,0.0,0.0,,2,0.8801281518554687,True,REGULAR,USD,call
SPY250221C00395000,2025-01-13 16:56:35+00:00,395.0,183.74,213.31,214.08,0.0,0.0,10.0,167,0.8164080859374999,True,REGULAR,USD,call
SPY250221C00400000,2025-01-22 17:29:31+00:00,400.0,209.4,208.49,209.22,0.0,0.0,3.0,20,0.8105487695312499,True,REGULAR,USD,call
SPY250221C00405000,2025-01-21 19:43:52+00:00,405.0,198.8,203.57,204.25,0.0,0.0,73.0,48,0.7946797875976561,True,REGULAR,USD,call
SPY250221C00410000,2025-01-21 19:47:58+00:00,410.0,193.62,198.62,199.27,0.0,0.0,39.0,26,0.7768577001953125,True,REGULAR,USD,call
SPY250221C00415000,2025-01-07 20:52:02+00:00,415.0,176.12,193.57,194.32,0.0,0.0,1.0,76,0.7564721618652344,True,REGULAR,USD,call
SPY250221C00420000,2024-12-30 15:25:50+00:00,420.0,168.2,188.67,189.32,0.0,0.0,2.0,8,0.7402369726562499,True,REGULAR,USD,call
SPY250221C00425000,2025-01-17 15:00:22+00:00,425.0,173.97,183.66,184.34,0.0,0.0,15.0,20,0.7204617797851562,True,REGULAR,USD,call
SPY250221C00430000,2025-01-21 16:07:21+00:00,430.0,172.77,178.67,179.29,0.0,0.0,5.0,48,0.6989776196289064,True,REGULAR,USD,call
SPY250221C00435000,2025-01-16 18:25:23+00:00,435.0,160.49,173.7,174.34,0.0,0.0,7.0,24,0.6821320849609377,True,REGULAR,USD,call
SPY250221C00440000,2025-01-22 15:11:46+00:00,440.0,168.6,168.78,169.42,0.0,0.0,1.0,881,0.668094139404297,True,REGULAR,USD,call
SPY250221C00445000,2025-01-23 14:53:07+00:00,445.0,163.09,163.78,164.51,12.639999,8.401463,3.0,29,0.651492742919922,True,REGULAR,USD,call
SPY250221C00450000,2025-01-22 16:47:11+00:00,450.0,159.38,158.8,159.47,0.0,0.0,2.0,82,0.6313513427734375,True,REGULAR,USD,call
SPY250221C00455000,2025-01-17 20:01:59+00:00,455.0,145.11,153.92,154.63,0.0,0.0,4.0,60,0.6208534008789064,True,REGULAR,USD,call
SPY250221C00460000,2025-01-17 19:38:57+00:00,460.0,140.89,149.13,149.52,0.0,0.0,25.0,102,0.6044351080322268,True,REGULAR,USD,call
SPY250221C00465000,2025-01-17 16:47:26+00:00,465.0,135.82,143.92,144.56,0.0,0.0,1.0,28,0.5800823242187501,True,REGULAR,USD,call
SPY250221C00470000,2025-01-23 14:54:00+00:00,470.0,138.14,138.96,139.59,7.25,5.5390024,4.0,55,0.5629926513671876,True,REGULAR,USD,call
SPY250221C00475000,2025-01-17 16:03:48+00:00,475.0,125.17,133.97,134.61,0.0,0.0,3.0,54,0.5448043566894532,True,REGULAR,USD,call
SPY250221C00480000,2025-01-17 20:34:36+00:00,480.0,120.43,129.0,129.65,0.0,0.0,5.0,88,0.5277757183837892,True,REGULAR,USD,call
SPY250221C00485000,2025-01-13 17:00:38+00:00,485.0,93.97,123.97,124.68,0.0,0.0,39.0,65,0.5089160437011719,True,REGULAR,USD,call
SPY250221C00490000,2025-01-22 16:05:48+00:00,490.0,118.7,119.03,119.66,0.0,0.0,3.0,22,0.5067188000488281,True,REGULAR,USD,call
SPY250221C00495000,2025-01-22 16:01:09+00:00,495.0,113.56,114.09,114.71,0.0,0.0,1.0,31,0.48993429992675785,True,REGULAR,USD,call
SPY250221C00500000,2025-01-22 20:50:27+00:00,500.0,109.02,109.12,109.78,0.0,0.0,51.0,630,0.4739432489013672,True,REGULAR,USD,call
SPY250221C00505000,2025-01-22 14:55:04+00:00,505.0,103.68,104.56,104.7,0.0,0.0,3.0,673,0.4513604669189454,True,REGULAR,USD,call
SPY250221C00510000,2025-01-23 14:48:30+00:00,510.0,98.53,99.6,99.73,0.19000244,0.19320972,1.0,982,0.4337214831542969,True,REGULAR,USD,call
SPY250221C00515000,2025-01-22 17:20:12+00:00,515.0,95.08,94.33,94.85,0.0,0.0,2.0,296,0.41962250305175786,True,REGULAR,USD,call
SPY250221C00520000,2025-01-21 16:11:51+00:00,520.0,83.21,89.68,89.82,0.0,0.0,5.0,411,0.39942006835937505,True,REGULAR,USD,call
SPY250221C00525000,2025-01-22 14:59:05+00:00,525.0,83.97,84.68,84.82,0.0,0.0,1.0,356,0.38049935913085936,True,REGULAR,USD,call
SPY250221C00526000,2025-01-21 19:45:18+00:00,526.0,78.64,83.8,83.95,0.0,0.0,1.0,8,0.38147591186523433,True,REGULAR,USD,call
SPY250221C00527000,2025-01-16 19:26:19+00:00,527.0,68.6,82.82,82.95,0.0,0.0,2.0,198,0.3776917700195312,True,REGULAR,USD,call
SPY250221C00528000,2025-01-07 14:54:16+00:00,528.0,73.01,81.75,81.89,0.0,0.0,1.0,663,0.37164934997558596,True,REGULAR,USD,call
SPY250221C00529000,2025-01-03 14:41:48+00:00,529.0,65.27,80.66,80.79,0.0,0.0,5.0,203,0.3642031353759766,True,REGULAR,USD,call
