contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,type,expirationDate,midprice,smoothed_midprice
SPY250221C00300000,2025-01-21 16:14:16+00:00,300.0,302.22,308.01,308.76,0.0,0.0,10.0,828,1.2155800939941406,call,2025-02-21,308.385,298.0918466222637
SPY250221C00305000,2025-01-16 19:29:17+00:00,305.0,289.01,302.88,303.7,0.0,0.0,31.0,282,1.1743205346679688,call,2025-02-21,303.28999999999996,296.4995899870288
SPY250221C00310000,2025-01-17 19:37:11+00:00,310.0,290.01,298.1,298.87,0.0,0.0,16.0,26,1.1796916015625,call,2025-02-21,298.485,293.4031221976162
SPY250221C00315000,2025-01-16 19:26:06+00:00,315.0,278.78,293.1,293.89,0.0,0.0,14.0,259,1.1557659399414062,call,2025-02-21,293.495,288.95280575960896
SPY250221C00320000,2025-01-21 18:34:04+00:00,320.0,284.03,288.15,288.94,0.0,0.0,6.0,154,1.1379437634277343,call,2025-02-21,288.54499999999996,283.324918490718
SPY250221C00330000,2024-12-30 17:58:46+00:00,330.0,263.12,277.93,278.94,0.0,0.0,148.0,151,1.0742233789062503,call,2025-02-21,278.435,276.69636458081766
SPY250221C00335000,2024-12-30 17:49:43+00:00,335.0,259.11,273.17,273.97,0.0,0.0,148.0,148,1.0683640332031252,call,2025-02-21,273.57000000000005,269.2403084370618
SPY250221C00345000,2024-12-30 17:34:34+00:00,345.0,248.43,263.06,263.99,0.0,0.0,148.0,148,1.015874061279297,call,2025-02-21,263.525,261.1432863332245
SPY250221C00350000,2025-01-22 14:53:44+00:00,350.0,257.64,258.08,259.01,0.0,0.0,3.0,149,0.9953613745117188,call,2025-02-21,258.54499999999996,252.6250182452497
SPY250221C00370000,2024-12-30 17:12:54+00:00,370.0,223.08,238.26,239.05,0.0,0.0,74.0,75,0.918946123046875,call,2025-02-21,238.655,243.94346045455336
SPY250221C00375000,2024-12-30 17:11:16+00:00,375.0,218.07,233.42,234.07,0.0,0.0,74.0,77,0.9064950756835936,call,2025-02-21,233.745,235.37321076737638
SPY250221C00385000,2025-01-13 15:24:30+00:00,385.0,193.88,223.41,224.16,0.0,0.0,40.0,115,0.8673108972167969,call,2025-02-21,223.785,227.1636771500822
SPY250221C00395000,2025-01-13 16:56:35+00:00,395.0,183.74,213.31,214.08,0.0,0.0,10.0,167,0.8164080859374999,call,2025-02-21,213.695,219.49415250113293
SPY250221C00400000,2025-01-22 17:29:31+00:00,400.0,209.4,208.49,209.22,0.0,0.0,3.0,20,0.8105487695312499,call,2025-02-21,208.85500000000002,212.44581371651213
SPY250221C00405000,2025-01-21 19:43:52+00:00,405.0,198.8,203.57,204.25,0.0,0.0,73.0,48,0.7946797875976561,call,2025-02-21,203.91,206.00130145099092
SPY250221C00410000,2025-01-21 19:47:58+00:00,410.0,193.62,198.62,199.27,0.0,0.0,39.0,26,0.7768577001953125,call,2025-02-21,198.945,200.06975478324273
SPY250221C00415000,2025-01-07 20:52:02+00:00,415.0,176.12,193.57,194.32,0.0,0.0,1.0,76,0.7564721618652344,call,2025-02-21,193.945,194.5248520975481
SPY250221C00420000,2024-12-30 15:25:50+00:00,420.0,168.2,188.67,189.32,0.0,0.0,2.0,8,0.7402369726562499,call,2025-02-21,188.995,189.24053424751222
SPY250221C00425000,2025-01-17 15:00:22+00:00,425.0,173.97,183.66,184.34,0.0,0.0,15.0,20,0.7204617797851562,call,2025-02-21,184.0,184.11423944017395
SPY250221C00430000,2025-01-21 16:07:21+00:00,430.0,172.77,178.67,179.29,0.0,0.0,5.0,48,0.6989776196289064,call,2025-02-21,178.98,179.0746800197782
SPY250221C00435000,2025-01-16 18:25:23+00:00,435.0,160.49,173.7,174.34,0.0,0.0,7.0,24,0.6821320849609377,call,2025-02-21,174.01999999999998,174.07884952359467
SPY250221C00440000,2025-01-22 15:11:46+00:00,440.0,168.6,168.78,169.42,0.0,0.0,1.0,881,0.668094139404297,call,2025-02-21,169.1,169.1032450405807
